trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,7,-65.86412116544885,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,4,-138.350338598858,"{0: 6, 1: 4, 2: 3, 3: 1, 4: 2}",1
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-126.12185927701222,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-84.46741633987388,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,16,-8.520853791828879,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-136.94594435316472,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-128.65783227738376,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-50.428477763813504,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",30,0,-43.779414455552846,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,4,-120.64671702099253,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 1}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,18.734009040576616,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,3,-9.217396478669652,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,9,-3.6599956241786886,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,0,-38.796718464434136,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",35,20,-17.88923708590639,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-38.024717500478616,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,14,10.80565518967028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,7,-13.957061610621697,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,13,14.22465583555195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,15,16.810310949144963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",20,14,10.77197039159056,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",25,18,10.842004084565483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",20,11,-4.8402272855722765,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",25,12,11.923892134447286,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",30,0,41.340851379853866,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",25,14,18.005252590163792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",25,13,21.695205790444472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",20,16,8.561176912063182,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,0,30.24117534545263,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",20,0,5.924344344761818,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
