trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99, 'a': 0.2}",20,0,-141.89739398391447,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'e': 0.9801, 'a': 0.2}",25,0,-108.31850844281925,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'e': 0.9702989999999999, 'a': 0.2}",25,0,-49.22684347919093,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'e': 0.96059601, 'a': 0.2}",20,14,-16.857549773622644,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,False,"{'e': 0.9509900498999999, 'a': 0.2}",30,0,-115.6803250133326,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
6,False,"{'e': 0.9414801494009999, 'a': 0.2}",20,6,-25.27535276213056,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
7,False,"{'e': 0.9320653479069899, 'a': 0.2}",20,0,-82.99856862761433,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'e': 0.92274469442792, 'a': 0.2}",35,0,-175.00063429754107,"{0: 25, 1: 2, 2: 3, 3: 2, 4: 3}",0
9,False,"{'e': 0.9135172474836407, 'a': 0.2}",25,6,-140.80307502522504,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 2}",1
10,False,"{'e': 0.9043820750088043, 'a': 0.2}",30,8,-32.012856458331925,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
11,False,"{'e': 0.8953382542587163, 'a': 0.2}",30,12,-55.783715853129294,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
12,False,"{'e': 0.8863848717161291, 'a': 0.2}",20,11,-72.13425081776539,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'e': 0.8775210229989678, 'a': 0.2}",35,0,-241.37164718816388,"{0: 18, 1: 5, 2: 6, 3: 3, 4: 3}",0
14,False,"{'e': 0.8687458127689781, 'a': 0.2}",35,15,-89.78923162022915,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
15,False,"{'e': 0.8600583546412883, 'a': 0.2}",25,0,-149.03434658088844,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
16,False,"{'e': 0.8514577710948754, 'a': 0.2}",30,17,6.469489970711038,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'e': 0.8429431933839266, 'a': 0.2}",25,0,-94.61243965347413,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
18,False,"{'e': 0.8345137614500874, 'a': 0.2}",25,0,-52.21694572876846,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'e': 0.8261686238355865, 'a': 0.2}",25,3,-69.77012617633916,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
20,False,"{'e': 0.8179069375972307, 'a': 0.2}",20,0,-120.54629902576171,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,False,"{'e': 0.8097278682212583, 'a': 0.2}",30,16,-32.631257730609036,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
22,False,"{'e': 0.8016305895390458, 'a': 0.2}",25,0,-57.392138494341154,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
23,False,"{'e': 0.7936142836436553, 'a': 0.2}",35,0,-174.47315350299775,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
24,False,"{'e': 0.7856781408072188, 'a': 0.2}",25,0,-39.854911666324526,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
25,False,"{'e': 0.7778213593991465, 'a': 0.2}",20,0,-101.37982446425576,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'e': 0.7700431458051551, 'a': 0.2}",20,0,-61.622836828943115,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'e': 0.7623427143471035, 'a': 0.2}",30,0,-174.28976244589904,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
28,False,"{'e': 0.7547192872036325, 'a': 0.2}",20,15,1.7346584354931711,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'e': 0.7471720943315961, 'a': 0.2}",25,0,-131.44297367670532,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
30,False,"{'e': 0.7397003733882802, 'a': 0.2}",30,0,-142.23787064797216,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
31,False,"{'e': 0.7323033696543974, 'a': 0.2}",25,0,-172.2577544231899,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
32,False,"{'e': 0.7249803359578534, 'a': 0.2}",30,0,-108.62061177039641,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
33,False,"{'e': 0.7177305325982748, 'a': 0.2}",35,10,-37.840214534659026,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",1
34,False,"{'e': 0.7105532272722921, 'a': 0.2}",20,12,5.735032879162573,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'e': 0.7034476949995692, 'a': 0.2}",30,0,-45.88464080250461,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
