trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-114.35611443071474,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-119.67767919786439,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-84.709445276621,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-117.48621859799036,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-207.1224338960481,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-200.8323240799936,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
7,False,"{'e': 1.0, 'a': 0.5}",20,0,-137.79093729847023,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-140.95121639507636,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-68.88128963179705,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",30,0,-141.63981110828766,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-102.31843476847656,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-143.72224449210827,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'e': 1.0, 'a': 0.5}",25,7,-106.97085478230058,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 2}",1
14,False,"{'e': 1.0, 'a': 0.5}",20,10,-4.960521455880323,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'e': 1.0, 'a': 0.5}",30,0,-161.44490897585558,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-141.12815478451782,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-87.99912120712455,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-110.5340365815006,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-138.4066403562814,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'e': 1.0, 'a': 0.5}",30,0,-178.94962789583144,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-150.79413778371776,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-110.32255606623052,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-123.42238515516634,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-74.33548779750977,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-81.41953125079431,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,0,-51.7035296159475,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-69.62913782871453,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
8,True,"{'e': 1.0, 'a': 0.5}",30,0,-184.34194187877114,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",25,0,-234.4850554685833,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-96.55527206951747,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
